Name EN,States Names,Region,Category,Danger,Danger list,Date inscribed,Coordinates
La Fortaleza and San Juan National Historic Site in Puerto Rico,United States of America,Europe and North America,Cultural,False,,1983,"18.46666667, -66.125"
Statue of Liberty,United States of America,Europe and North America,Cultural,False,,1984,"40.68944444, -74.04472222"
Redwood National and State Parks,United States of America,Europe and North America,Natural,False,,1980,"41.37388889, -123.9980556"
Papahānaumokuākea,United States of America,Europe and North America,Mixed,False,,2010,"25.34907, -170.14582"
Itchan Kala,Uzbekistan,Asia and the Pacific,Cultural,False,,1990,"41.378088, 60.360253"
Coro and its Port,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Cultural,True,Y 2005,1993,"11.409794, -69.679228"
Old City of Sana'a,Yemen,Arab States,Cultural,True,Y 2015,1986,"15.35555556, 44.20805556"
"Mana Pools National Park, Sapi and Chewore Safari Areas",Zimbabwe,Africa,Natural,False,,1984,"-15.81944444, 29.40805556"
Historic Centres of Berat and Gjirokastra,Albania,Europe and North America,Cultural,False,,2005,"40.0741666667, 20.1408333333"
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Afghanistan,Asia and the Pacific,Cultural,True,Y 2003,2003,"34.84694, 67.82525"
Minaret and Archaeological Remains of Jam,Afghanistan,Asia and the Pacific,Cultural,True,Y 2002,2002,"34.3964166667, 64.5158888889"
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,"North Macedonia,Spain,Italy,France,Poland,Albania,Austria,Belgium,Croatia,Romania,Ukraine,Bulgaria,Slovenia,Slovakia,Switzerland,Bosnia and Herzegovina,Germany,Czechia",Europe and North America,Natural,False,,2007,"48.9, 22.1833333333"
Djémila,Algeria,Arab States,Cultural,False,,1982,"36.32056, 5.73667"
Tassili n'Ajjer,Algeria,Arab States,Mixed,False,,1982,"25.5, 9.0"
Madriu-Perafita-Claror Valley,Andorra,Europe and North America,Cultural,False,,2004,"42.49472222, 1.595555556"
"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)","Brazil,Argentina",Latin America and the Caribbean,Cultural,False,,1983,"-28.54333333, -54.26583333"
Los Alerces National Park,Argentina,Latin America and the Caribbean,Natural,False,,2017,"-42.8528, -71.8728"
Península Valdés,Argentina,Latin America and the Caribbean,Natural,False,,1999,"-42.5, -64.0"
Los Glaciares National Park,Argentina,Latin America and the Caribbean,Natural,False,,1981,"-50.0, -73.24944"
Quebrada de Humahuaca,Argentina,Latin America and the Caribbean,Cultural,False,,2003,"-23.19986111, -65.34886111"
